Pergunta,A,B,C,D,Correta,Imagem
"183) Sobre o uso da furadeira, existem furos que ficarão expostos ao tempo. Qual das opções abaixo é a correta?","Furar de dentro do cômodo para fora, inclinando a furadeira 15° para baixo, afim de evitar umidade","Furar de dentro do cômodo para fora, inclinando a furadeira 15° para cima, afim de evitar umidade","Furar de dentro do cômodo para fora, deixando a furadeira em ângulo reto, afim de evitar umidade","Furar de fora do cômodo para dentro, inclinando a furadeira 15° para baixo, afim de evitar umidade",A,
"184) Para evitar casos de lentidão devido ao congestionamento dos canais de transmissão que recebem várias redes sem fio ao mesmo tempo, devemos:",Configurar o EMTA no canal de transmissão 11 que é o menos congestionado.,Realizar testes de potência de sinal usando o Wi-Fi Analyser e garantir niveis entre -40 á -70 dBM,instalar o eMTA em um cômodo central da residência.,"Deixar o canal de transmissão em modo automático, e orientar o cliente a sempre dar um boot no eMTA para que ele procure o canal menos congestionado.",D,
185) O que é o REPLAY TV disponivel nos pacotes com segmentação TOP HD/TOP HD MAX e Claro TV+?,É a nova funcionalidade que finalmente nos permite gravar os títulos do NOW,É a nova funcionalidade que nos permite assistir novamente (REPLAY) toda a programação da Claro,É a nova funcionalidade do Premiere Futebol Clube que nos permite assistir o REPLAY de todo os jogos e gols de todos os campeonatos,"É a nova funcionalidade que permite RECOMEÇAR O EVENTO ATUAL desde o inicio em determinados canais por meio do miniguia, nos canais que possuem o REPLAY TV é possível acessar conteúdos retroativos a até 7 dias.",D,
186) A diferença entre a potencia do sinal demodulado e o nível de ruído do canal de transmissão refere-se a:, BER - Bit Error Ratio, C/N - Carrier to Noise,CSO - Composit Second Order, SNR - Signal to Noise Ratio,D,
"187)  A técnica Laura está realizando uma W.O de revisita Vítua, onde a reclamação da cliente é que um site específico não está abrindo ou demora muito em seu computador. Para saber a latência entre o computador e o servidor específico, existe algum comando no CMD que a Laura pode utilizar? ",Pode utilizar o comando Flush DNS,Pode utilizar o comando Ipconfig,Pode utilizar o comando Ipconfig/all,Pode utilizar o comando Ping,D,
"188)  Ao você inicia o Status ""Em rota"" no TOA, será liberado um código para o Cliente, o que permite um aumento na percepção de segurança aos nossos atendimentos. Para clientes com o APP Meu claro residencial o cliente tem uma visualização através do botão Código de Segurança em acompanhar a visita técnica. Mas e o cliente que não possui o APP instalado? (T1n°257HFC e T1n°31GPON)",O cliente receberá através de um SMS informando o código de segurança,O cliente receberá um e-mail informando o código de segurança,"O cliente não receberá nenhum código, logo não será solicitado pelo cliente",O cliente que não tenha o APP meu claro residencial instalado não deve solicitar o código ao técnico,A,
"189)  Wi-Fi é uma tecnologia de rede sem fio que permite que computadores (laptops e desktops), dispositivos móveis (smartphones e dispositivos vestíveis) e outros equipamentos (impressoras e câmeras de vídeo). Escolha a alternativa que NÃO faz parte de itens que se deve observar sobre o WI-FI: ",O nível de potência do RX/TX deve estar dentro dos padrões de qualidade para que o sinal WI-FI tenha um bom desempenho.," Posicionamento do Roteador, procurando sempre a melhor localidade de acordo com as necessidades do cliente para melhor propagação do Sinal Wi-FI."," Dispositivos como carrinhos de controle remoto, fones de ouvido sem fio ou até mesmo controles de videogame sem fio podem interferir no sinal wi-fi, se utilizarem a mesma frequência de transmissão."," Barreiras físicas podem fazer com que a propagação do sinal wi-fi fique deficiente, dependendo do material destas barreiras, algumas com menor impacto no sinal como madeira e outras com alto impacto no sinal como metal.",A,
190)  Qual das modulações abaixo possui a menor tolerância a ruído? , 16 QAM, 64 QAM, 256 QAM, QPSK,C,
"191)  Coloque em ordem os itens abaixo, levando em conta o sentido CLARO > CASA DO CLIENTE, seguindo uma instalação de componentes: 1 Cable isolator / 4 Tap / 5 Divisores ou Dc's / 3 mini isolator / 2 emta ou decoder ",5-4-3-2-1, 4-1-5-3-2, 1-2-3-4-5, 2-1-3-4-5,B,
192)  Qual o problema que pode acontecer quando não utilizamos a fonte certa para o equipamento desejado? (Treinamento de 1 PONTO nº95) ,A utilização de uma fonte incorreta só interfere nas transmissões UHF devido interferências harmônicas. De resto o equipamento funciona perfeitamente.," A utilização de uma fonte incorreta não causa problemas ou o mau funcionamento do equipamento, desde que a corrente seja 50% menor."," A utilização de uma fonte incorreta só tem como consequência a mudança na cor do LED do painel frontal, de verde para laranja, não interferindo no funcionamento do decoder em nenhuma hipótese"," A utilização de uma fonte incorreta acarreta no mau funcionamento do equipamento, que dependendo do caso poderá ser seriamente danificado, além de gerar intermitência em alguns casos.",D,
"193)  Segundo a Norma Regulamentadora nº 35, Trabalho em Altura, da Portaria MTP nº 4.218/2022, sobre o Sistema de Proteção Individual Contra Quedas (SPIQ), assinale a alternativa INCORRETA ",A inspeção inicial é aquela realizada entre o recebimento e a primeira utilização do SPIQ.," A inspeção periódica deve ser realizada no mínimo uma vez a cada 12 meses, podendo o intervalo entre as inspeções ser reduzido em função do tipo de utilização, frequência de uso ou exposição a agentes agressivos."," Devem ser registradas as inspeções iniciais, periódicas e aquelas rotineiras que tiveram os elementos do SPIQ recusados.", A inspeção rotineira é aquela realizada após o início dos trabalhos.,D,
194)  Qual a função de uma portadora no processo de Transmissão de sinal de TV ou Internet? ,"A portadora converte o sinal digital em analógico, permitindo que ele seja transmitido por meio de ondas eletromagnéticas"," A portadora é uma onda de frequência que transporta a informação a ser transmitida, modulando suas características"," A portadora amplifica o sinal original, aumentando sua potência para que possa percorrer longas distâncias."," A portadora filtra o ruído presente no sinal, garantindo a qualidade da transmissão.",B,
195)  Qual é a principal função dos divisores em sistemas de distribuição de sinal?,Distribuir o sinal para múltiplos pontos, Amplificar o sinal., Filtrar interferências eletromagnéticas., Converter o sinal analógico em digital.,A,
"196) Dentre as alternativas abaixo, qual delas apresenta a menor taxa de erros?",BER 4.0 E -05,BER 2.0 E -04,BER 1.0 E -06,BER 9.0 E -06,C,
197) Qual das alternativas NÃO é uma vantagem de utilizar o Wi-Fi em vez de uma conexão cabeada?,Facilidade de instalação: A configuração do Wi-Fi é geralmente mais fácil do que a instalação de cabos Ethernet,"Custo: O Wi-Fi pode ser mais barato do que a instalação de cabos Ethernet, especialmente em casas ou escritórios grandes.","Mobilidade: Você pode se conectar à internet em qualquer lugar da sua casa ou escritório, sem precisar estar preso a um cabo.","Segurança: O Wi-Fi é mais seguro do que uma conexão cabeada, pois os dados são transmitidos sem fio.",D,
"198) O técnico Jonny deve configurar o padrão de transmissão Wi-Fi para rede 2.4 GHZ. Para garantir a compatibilidade com a maioria dos dispositivos que tenham antenas wi-fi, ele deve estar configurar em:",Transmissão MISTA 802.11 g e 802.11n,Transmissão Somente 802.11n,Transmissão Somente 802.11g,"Transmissão MISTA - 802.11 b, 802.11g e 802.11n",D,
199) A transmissão de dados no padrão DOCSIS é feita por meio de dois equipamentos:,Cable Modem e CMTS,HUB e transceptor óptico,EMTA e TAP,Amplificador e divisor,A,
200) Observe os seguintes itens e assinale aquele que representa uma medida de segurança de acordo com a Norma Reguladora 35 - Trabalho em Altura.,Realizar treinamentos específicos para trabalhos em altura e utilizar sistemas de ancoragem adequados.,Utilizar uma escada improvisada para acessar locais elevados sem supervisão.,"Desconsiderar as condições meteorológicas ao realizar atividades em altura, como ventos fortes ou chuvas.",Ignorar o uso de equipamentos de proteção individual (EPIs) ao trabalhar em alturas inferiores a 2 metros.,A,
"201) Para que os canais da grade QAM funcionem corretamente em terminais híbridos, qual configuração é essencial?",Conectar o terminal somente à internet e executar o valida retorno.,"Instalar o cabo coaxial, conectar à internet e executar a varredura de canais.",Instalar apenas o cabo coaxial e executar a varredura de canais na configuração.,Conectar o terminal somente à internet e configurar a senha de conteúdos.,B,
202) Qual das opções representa uma prática correta ao montar o conector RG6?,Não descascar a blindagem,Deixar o dielétrico exposto,Evitar contato entre malha e condutor central,Emitir alertas automáticos sobre quedas de energia na rede elétrica.,C,
" 203) Qual é a principal função da funcionalidade ""Certidão de Atendimento"" no aplicativo Técnico Nota 10?","Realizar a leitura e análise das frequências de canais digitais como Upstream, Downstream, OFDM e OFDMA.",Fornecer relatórios administrativos sobre o desempenho dos técnicos.,Monitorar o uso de dados dos clientes em tempo real.,O número de série do TAP,A,
"204) Durante uma instalação, o que deve ser feito caso seja identificado um TAP lotado?","Procurar outro TAP, mesmo que em outra rua, para atender o cliente.",Inserir um divisor na rede para atender o novo cliente.,Baixar a WO no TOA com o código #205 Falta TAP/Passivo Lotado.,Baixar a WO com o código #203 Rede Externa com Problema e enviar o problema pelo TOA.,D,
"205) Na instalação interna, ao passar o cabo por tubulação, é permitido passar junto com rede elétrica?","Não, pois a rede elétrica interfere o sinal do cabo.","Sim, somente em casos de obstrução nos dutos exclusivos de telecomunicação.","Sim, o importante é deixar o cabo protegido na tubulação.",n.D.A,A,
206) Qual o primeiro procedimento antes de iniciar uma instalação HFC?,Passar o cabo interno,Verificar o sinal no TAP,Conectar o modem,Medir a tensão no conector F,B,
"207) Na instalação interna, o que deve ser feito se for identificada uma tubulação obstruída?",Perguntar ao cliente se ele aceita a instalação de cabo aparente.,Todas as alternativas estão corretas.,Utilizar a câmera sonda para verificar a obstrução.,Usar a fita guia de aço para tentar desobstruir a tubulação.,B,
"208) Ao efetuar instalação externa, é necessário respeitar a altura mínima na passagem do cabo coaxial na travessia de ruas. Qual é a altura mínima?",4m,7m,12m,"5,15m",D,
209) O que é ruído?,É uma forma de transmitir o sinal ao Headend,Ruído é uma interferência vinda de fontes externas que ingressa na instalação e causa defeito nos produtos instalados,É uma forma de amplificar o sinal,É uma forma que o equipamento entende o sinal em alta qualidade,B,
210) Qual é o padrão de funcionamento do RX nos terminais (Decodificadores e eMTAs)?,Entre +15dBmV e -15dBmV,Entre +12dBmV e -12dBmV,Entre +20dBmV e -20dBmV,Entre +5dBmV e -5dBmV,B,
211) Qual é o padrão de funcionamento do TX nos terminais (Decodificadores e eMTAs)?,Entre +10dBmV e -10dBmV,Entre 35dBmV e 55dBmV,Entre 27dBmV e 57dBmV,Entre 38dBmV e 51dBmV,D,
212) Qual é o padrão de funcionamento do SNR Down e SNR UP nos terminais (Decodificadores e eMTAs)?,SNR DOWN entre 20dB e 30dB e SNR UP entre 17dB e 22dB,SNR DOWN abaixo de 35dB e SNR UP abaixo de 27dB,SNR DOWN acima de 35dB e SNR UP acima de 27dB,SNR DOWN abaixo de 27dB e SNR UP abaixo de 15dB,C,
213) É possível efetuar a medição de níveis de sinal pelo seu próprio smartphone. Basta acessar um site. Qual é o site usado para medição de níveis?,datacenter.virtua.com,niveis.virtua.com.br,sinais.claro.virtua.com,medidordesinal.com.br,B,
214) Ao realizar a instalação do serviço de TV é necessário efetuar o Valida Retorno. Qual é a função deste teste?,Liberar os canais do pacote,Validar o pacote do cliente,Realizar a validação do canal de retorno do decoder com o Headend,Habilitar todos os serviços do canal direto,C,
"215) Considerando os parâmetros técnicos da tela de diagnósticos de um decodificador digital, qual alternativa abaixo representa a melhor qualidade do sinal?","PS 10 dBmV, QS 70% e BER -6","PS -6 dBmV, QS 100% e BER -4","PS 4 dBmV, QS 100% e BER -5","PS 2 dBmV, QS 70% e BER -7",D,
"216) Durante os períodos de chuva, a quantidade de terminais queimados aumenta bastante devido a descargas elétricas atmosféricas provocadas por raios. A fim de minimizar esse impacto, qual dos dispositivos abaixo é o mais adequado?",Carga Casada,Filtro High Pass,Mini Cable Isolator,Filtro Trap,C,
217) O que é UPDATE ID?,"É um código de identificação que determina qual tipo de hardware devemos instalar, seguindo como regra o tipo de produto contratado pelo cliente","É um código de identificação que determina qual o tipo de software o decodificador deverá receber, seguindo como regra o produto contratado pelo cliente",É um hardware de instalação que determina qual tipo de software o decodificador deverá receber seguindo como regra o tipo de produto contratado pelo cliente,"É um hardware de instalação que determina qual tipo de software o decodificador deverá transmitir, seguindo como regra o tipo de modulação do Headend de cada cidade",B,
218) Referente ao BER padrão Claro abaixo qual representa a melhor Qualidade,BER 2.0 E-07,BER 3.0 E-05,BER 1.0 E-06,BER 9.0 E-08,D,
